Fe,mass,Pd,Pt
0.0012817,0.0082492,0.0029844,0.0016722
0.0011053,0.0081868,0.0029356,0.0019857
0.00097829,0.0081178,0.0029101,0.0022724
0.00088869,0.0080744,0.0028779,0.0024675
0.00082505,0.0080787,0.0028263,0.0024835
0.00078764,0.0081435,0.0027496,0.0023176
0.00077766,0.0082478,0.0026611,0.0020732
0.00079042,0.0083993,0.0025606,0.0017858
0.00083228,0.0085951,0.0024456,0.0015505
0.00090257,0.008803,0.0023443,0.0014019
0.00098536,0.0088992,0.0022253,0.0013627
0.0010605,0.008921,0.0021108,0.0014342
0.0015484,0.014785,0.0024958,0.0025119
0.0019034,0.018108,0.0026188,0.003484
0.0019872,0.017052,0.002441,0.0038154
0.0020554,0.016274,0.0022993,0.0041514
0.0021085,0.015549,0.0021802,0.0044018
0.0021707,0.01495,0.002075,0.0044971
0.0022322,0.014447,0.0019957,0.0044582
0.0033787,0.020688,0.0043401,0.007289
0.0039649,0.025361,0.005169,0.0097436
0.0045192,0.033411,0.0058515,0.013348
0.0051576,0.044212,0.0068091,0.018137
0.0058246,0.058255,0.0079689,0.024534
0.0072338,0.088597,0.011406,0.052665
0.010575,0.18004,0.022267,0.21272
0.010334,0.17242,0.020245,0.15199
0.010102,0.16418,0.018922,0.10872
0.0099819,0.15757,0.018257,0.07862
0.01313,0.16819,0.023071,0.066988
0.016479,0.17945,0.028669,0.060964
0.015208,0.17564,0.027962,0.053349
0.029024,0.20968,0.046456,0.13863
0.059749,0.25367,0.079975,0.3905
0.05709,0.27748,0.082624,0.54953
0.045393,0.27344,0.071725,0.48734
0.037666,0.268,0.062919,0.44296
0.032122,0.2598,0.056092,0.40125
0.02804,0.25211,0.051006,0.36874
0.025075,0.24683,0.046955,0.3282
0.023444,0.23943,0.044738,0.28098
0.022707,0.2331,0.042958,0.23057
0.023241,0.22074,0.042905,0.18923
0.024025,0.21138,0.043135,0.15668
0.026015,0.20436,0.043888,0.13696
0.028047,0.19751,0.044507,0.12673
0.030679,0.1903,0.044795,0.12529
0.033593,0.18482,0.044212,0.12783
0.036867,0.18011,0.043504,0.13396
0.040847,0.17718,0.042996,0.14067
0.045934,0.17491,0.042411,0.14673
0.05286,0.17275,0.042464,0.15302
0.061111,0.17459,0.042888,0.16034
0.071006,0.18008,0.043491,0.16952
0.080953,0.18692,0.044633,0.17848
0.088474,0.19446,0.046347,0.18835
0.092898,0.20389,0.049015,0.19281
0.09308,0.21551,0.052613,0.18927
0.090208,0.22418,0.05665,0.17949
0.086791,0.23227,0.061725,0.166
0.084925,0.23918,0.066975,0.15427
0.08591,0.24684,0.072352,0.14743
0.090226,0.25639,0.076679,0.14644
0.099278,0.26928,0.079517,0.15201
0.11186,0.2848,0.080566,0.16533
0.12798,0.30375,0.080324,0.1832
0.14591,0.32764,0.080437,0.20404
0.16397,0.35267,0.08216,0.22531
0.18132,0.37361,0.087127,0.24253
0.19901,0.39669,0.097219,0.25391
0.21513,0.42325,0.11281,0.25898
0.23401,0.45608,0.13366,0.2621
0.25585,0.49379,0.16221,0.26321
0.28102,0.52884,0.19609,0.26369
0.31241,0.56426,0.23722,0.26439
0.35233,0.60661,0.28601,0.26457
0.40402,0.65736,0.34227,0.26839
0.47126,0.71597,0.40746,0.2742
0.55999,0.79049,0.48651,0.28729
0.66147,0.87091,0.57761,0.30479
0.78233,0.96433,0.67882,0.32978
0.90654,1.0672,0.79242,0.36091
1.0575,1.2399,0.91528,0.40231
1.2188,1.4821,1.0415,0.45457
1.4164,1.8533,1.1695,0.5148
1.3035,1.4329,1.2118,0.47885
0.87748,0.54518,1.0443,0.36186
0.61947,0.22008,0.9173,0.30676
0.66536,0.25302,0.96765,0.4162
0.48755,0.14294,0.80194,0.12955
0.33395,0.073379,0.67323,0.027082
0.33596,0.088361,0.76999,0.032098
0.34911,0.10993,0.95452,0.040291
0.40355,0.13374,1.3896,0.053762
0.093379,0.023573,0.18311,0.0075849
0.050783,0.0096791,0.078422,0.0032829
0.051407,0.0077647,0.083231,0.003415
0.053116,0.0064527,0.088565,0.0038277
0.063902,0.0058871,0.10992,0.004845
0.053491,0.0040181,0.094503,0.0044774
0.00050896,0.00015146,0.00073887,0.00021377
0.00051244,0.00015727,0.00080715,0.00025066
0.00053302,0.00016101,0.00095375,0.00030485
0.00058765,0.00017109,0.0012383,0.00038043
0.00071175,0.00035671,0.0017323,0.00048926
0.00097914,0.0013008,0.0026606,0.00064091
0.0006854,0.00099155,0.0018484,0.00051324
0.00018192,9.30E-05,0.00040885,0.00022949
0.00017646,8.51E-05,0.00034026,0.0002161
0.00017239,8.27E-05,0.00028258,0.00020133
0.00016726,8.10E-05,0.00024153,0.00018754
0.00016469,8.27E-05,0.00021328,0.00017843
0.00015892,8.59E-05,0.00019751,0.00017056
0.00015182,8.81E-05,0.00019121,0.00016648
0.00014525,8.93E-05,0.00019045,0.0001614
0.00013805,9.23E-05,0.00019346,0.00015503
0.00013145,9.32E-05,0.00019727,0.0001448
0.00012731,9.49E-05,0.00020291,0.00012992
0.00012453,9.63E-05,0.00020661,0.00011222
0.00012308,9.58E-05,0.00020843,9.57E-05
0.00012494,9.55E-05,0.00020766,8.44E-05
0.00012807,9.72E-05,0.00020191,7.72E-05
