Gd,Co,Fe,Ce,Pt
152.6685,81.74891,138.3099,657.0042,671.4893
184.8576,69.48548,99.9711,610.1105,709.3376
193.0658,84.49727,88.11515,643.9128,692.9241
172.6138,76.5633,111.566,683.1896,685.4769
185.2419,70.39942,103.6796,603.6539,707.2798
181.5419,77.39751,117.4323,650.5471,720.5693
219.2274,86.71319,84.70197,636.4524,651.7102
184.7619,75.24821,101.0813,680.1595,717.3586
197.1417,65.22272,119.1929,666.7926,754.3174
189.8518,68.73282,109.0699,657.7186,684.1259
204.2829,61.50613,132.0293,649.1398,730.7308
207.6576,71.91648,73.10017,622.6256,662.9141
221.4135,50.5365,108.2648,655.2404,634.48
158.2566,68.00881,91.11433,691.2325,689.7614
191.8856,67.10402,112.9539,619.4865,709.6213
169.9429,69.22766,96.22523,645.3033,707.7551
183.3023,61.22769,95.80138,615.7707,735.4642
153.6739,63.81202,135.4927,667.3508,672.6136
179.6527,66.20161,118.8176,648.3125,641.0355
200.5308,55.92187,114.678,653.5593,761.2244
233.0174,55.54461,122.2731,682.2518,594.2984
190.2246,79.29302,102.7311,599.5292,632.9227
205.6801,55.16264,102.0683,650.377,718.1099
165.1961,63.65853,89.97783,599.5231,676.6341
185.9381,59.22413,95.19038,652.0754,651.4048
171.8974,61.75566,89.72584,658.0568,676.0963
157.8631,63.66115,131.7444,628.3995,680.3699
181.563,65.42027,122.3038,657.2524,700.6695
190.5092,69.76543,107.2678,660.5707,675.6685
178.137,72.87031,111.946,649.4255,726.6459
167.6521,61.17479,110.7779,703.5335,654.0206
152.1229,69.24955,100.2976,696.592,654.3477
165.9651,69.19989,87.78345,650.0507,646.6187
217.4345,58.63542,97.67631,704.1682,601.5568
205.0186,67.59164,96.34446,659.6125,692.2173
199.6919,86.41108,120.4682,649.2692,616.4136
190.4042,63.88403,110.3724,615.3553,646.5531
227.4152,56.89462,94.83331,590.932,688.0649
194.9693,62.50283,104.0014,590.9501,680.7509
180.9592,69.51181,103.9477,673.483,687.3933
220.4751,57.76826,92.1353,624.391,655.3981
156.8556,59.08788,105.6207,630.9431,740.811
213.9301,52.84194,103.5618,621.2951,680.1318
170.6702,75.6192,90.35165,708.9963,723.2244
168.5308,85.59879,107.4086,622.3184,725.9354
192.6197,73.13136,93.08009,670.2068,652.0945
213.7295,50.48749,112.0564,668.1001,698.9603
194.758,59.42905,118.4476,606.6699,671.3173
207.4196,55.27578,138.3483,628.0701,770.4026
209.7973,53.89587,90.72041,642.8869,662.7952
188.5866,71.7186,78.85732,607.0732,736.6436
182.0568,77.5784,102.7777,589.6071,716.7537
181.5438,70.51344,95.34541,635.6729,706.7237
172.4925,56.62913,103.1994,645.944,695.8055
172.1626,62.60596,99.35926,663.6214,653.7424
174.847,84.92435,94.11086,655.7759,713.1022
169.1434,78.48227,117.1583,612.0195,724.1193
149.1688,68.68429,90.01048,644.7905,740.1823
161.9123,64.68932,119.1782,585.3802,718.8587
174.3305,63.2659,107.6092,623.3043,684.421
176.7626,64.76139,106.4534,628.1927,644.9598
171.0932,89.65697,98.78621,623.8464,752.6943
196.8821,57.01562,108.429,664.8979,778.2825
179.7526,70.73265,111.9173,604.9481,728.0721
184.0865,48.25092,84.72201,631.1335,814.7684
166.9981,70.45438,73.6946,690.4372,734.2235
173.5414,62.26728,98.49651,630.4816,747.5941
151.7401,49.9203,114.1431,635.3799,785.9174
160.587,74.57233,109.8988,569.7146,811.2698
137.0695,86.22948,93.93134,720.8402,801.1873
202.1947,50.48572,101.7469,702.7297,821.0673
162.9782,67.92939,96.33549,600.1244,828.3003
198.4719,62.1203,86.5938,652.6849,812.1432
168.6017,67.76558,120.7661,618.9762,742.9511
162.3375,61.25446,100.5217,604.1215,740.6541
188.2755,88.75713,100.4766,601.7939,788.7537
181.4436,67.0302,102.3108,592.6808,756.2202
387.5911,75.02544,202.4143,348.3538,801.6227
391.2321,77.00921,251.7412,349.2542,771.0369
362.4748,101.7972,188.0802,365.4767,720.5644
